,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_userid,in_reply_to_tweetid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions
122740,607878090669309952,kXFgx3LtVtSeuEDSstzJClaUxrj7SixXLvk6YXe74=,kXFgx3LtVtSeuEDSstzJClaUxrj7SixXLvk6YXe74=,kXFgx3LtVtSeuEDSstzJClaUxrj7SixXLvk6YXe74=,,,,483,61,2015-05-28,ru,en,I posted a new photo to Facebook http://t.co/aZ4GnczS0f,2015-06-08 11:53:00,Facebook,,,,False,,,absent,absent,0,0,0,0,[],['http://fb.me/7glzcOdjA'],[]
123863,1007207030988341248,3PKRjhVHrzK9hZxAFW7KMOMvaDNGtB3a6cDxPmUtRRc=,3PKRjhVHrzK9hZxAFW7KMOMvaDNGtB3a6cDxPmUtRRc=,3PKRjhVHrzK9hZxAFW7KMOMvaDNGtB3a6cDxPmUtRRc=,,,,46,38,2017-06-29,ru,en,"What's up in Armenia? 

https://t.co/FekAOOUx6X",2018-06-14 10:24:00,TweetDeck,,,,False,,,absent,absent,0,0,0,0,[],['https://www.quora.com/Whats-up-in-Armenia/answer/Eugen-Strijenok-1'],[]
124190,603917421435625473,kXFgx3LtVtSeuEDSstzJClaUxrj7SixXLvk6YXe74=,kXFgx3LtVtSeuEDSstzJClaUxrj7SixXLvk6YXe74=,kXFgx3LtVtSeuEDSstzJClaUxrj7SixXLvk6YXe74=,,,,483,61,2015-05-28,ru,en,I posted a new photo to Facebook http://t.co/J1yacw8ava,2015-05-28 13:35:00,Facebook,,,,False,,,absent,absent,0,0,0,0,[],['http://fb.me/6pyoPE0Ve'],[]
124562,900470534865080321,EJxMjRQ7QemtoOSM8SA7rgs4EUQ+EzsbQBqnkG90K8=,EJxMjRQ7QemtoOSM8SA7rgs4EUQ+EzsbQBqnkG90K8=,EJxMjRQ7QemtoOSM8SA7rgs4EUQ+EzsbQBqnkG90K8=,,,,47,38,2017-06-29,ru,en,"Erdogan vows to 'chop off heads of traitors' at coup anniversary rally
https://t.co/xS922vDUpe",2017-08-23 21:31:00,TweetDeck,,,,False,,,absent,absent,0,0,0,0,[],['http://leonkuravson.livejournal.com/177060.html'],[]
128512,1007207389836251136,EJxMjRQ7QemtoOSM8SA7rgs4EUQ+EzsbQBqnkG90K8=,EJxMjRQ7QemtoOSM8SA7rgs4EUQ+EzsbQBqnkG90K8=,EJxMjRQ7QemtoOSM8SA7rgs4EUQ+EzsbQBqnkG90K8=,,,,47,38,2017-06-29,ru,en,"What's up in Armenia? 

https://t.co/Q8RZU0PtPq",2018-06-14 10:25:00,TweetDeck,,,,False,,,absent,absent,0,0,0,0,[],['https://www.quora.com/Whats-up-in-Armenia/answer/Eugen-Strijenok-1'],[]
130239,660569467227803648,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,#moscow#kremlin#GN#night love life♠️♥️ @ Red Square https://t.co/pVVfcwiJBW,2015-10-31 21:30:00,Instagram,,,,False,,,present,present,0,0,0,0,[],['https://instagram.com/p/9hGE3LRsMj/'],[]
130240,658402325854162944,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,#island#memories everyone should know their place in the world 🦁🌍🎴 https://t.co/n405OykHtZ,2015-10-25 21:58:00,Instagram,,,,False,,,absent,absent,0,0,0,0,[],['https://instagram.com/p/9RskuexsKR/'],[]
130893,1139583575739830273,+UUWweLM1nQg3DZfZR435DcH6jRDuaR9TaAzjCtfFE=,+UUWweLM1nQg3DZfZR435DcH6jRDuaR9TaAzjCtfFE=,+UUWweLM1nQg3DZfZR435DcH6jRDuaR9TaAzjCtfFE=,,,,33,87,2017-09-24,ru,en,RT @Saves_tiger: Jump https://t.co/yVwhRfN1BF,2019-06-14 17:21:00,Twitter Web Client,,,,True,,1.1288817496420311e+18,absent,absent,0,0,0,0,[],[],['903629174434185216']
132071,1007207003230556160,WpI2NpVAVLaeqqgGzj0WA76La8JkpId4gzl0x03FoY=,WpI2NpVAVLaeqqgGzj0WA76La8JkpId4gzl0x03FoY=,WpI2NpVAVLaeqqgGzj0WA76La8JkpId4gzl0x03FoY=,,,,47,37,2017-06-29,ru,en,"What's up in Armenia? 

https://t.co/BZVCiHVGZE",2018-06-14 10:23:00,TweetDeck,,,,False,,,absent,absent,0,0,0,0,[],['https://www.quora.com/Whats-up-in-Armenia/answer/Eugen-Strijenok-1'],[]
132603,825988684096864256,04d3wBBXUI6yhaNgbVgdTp89adcOGgq2nsgKJkJrU=,04d3wBBXUI6yhaNgbVgdTp89adcOGgq2nsgKJkJrU=,04d3wBBXUI6yhaNgbVgdTp89adcOGgq2nsgKJkJrU=,,Стихи современных поэтов.,,4560,0,2016-12-16,ru,en,Brazzers https://t.co/7K2gG7oCwN,2017-01-30 08:47:00,get-tweets.info6,,,,False,,,absent,absent,0,0,41,3,[],[],[]
